abjura	ab.ju.ra
españolas	es.pa.ño.las
#espiado	es.pia.do
espigas	es.pi.gas
espionaje	es.pio.na.je
!esportillo	es.por.ti.llo
espumas	es.pu.mas
esquirós	es.qui.rós
establecida	es.ta.ble.ci.da
estertor	es.ter.tor
estofada	es.to.fa.da
estorbases	es.tor.ba.ses
estrellas	es.tre.llas
estremecido	es.tre.me.ci.do
estruendoso	es.truen.do.so
estudiarla	es.tu.diar.la
evangélica	e.van.gé.li.ca
examinose	e.xa.mi.no.se
excitaban	ex.ci.ta.ban
experimenta	ex.pe.ri.men.ta
experimentada	ex.pe.ri.men.ta.da
expresándose	ex.pre.sán.do.se
expresártelo	ex.pre.sár.te.lo
expresiva	ex.pre.si.va
extremada	ex.tre.ma.da
extremas	ex.tre.mas
extremos	ex.tre.mos
fábula	fá.bu.la
#facciosos	fac.cio.sos
faciltó	fa.cil.tó
factura	fac.tu.ra
familiar	fa.mi.liar
farolón	fa.ro.lón
farsantas	far.san.tas
fatigará	fa.ti.ga.rá
federal	fe.de.ral
feroz	fe.roz
festejo	fes.te.jo
#fiando	fian.do
ficticio	fic.ti.cio
filosofías	fi.lo.so.fí.as
findios	fin.dios
fingen	fin.gen
fingiéndose	fin.gién.do.se
fingimiento	fin.gi.mien.to
firma	fir.ma
firmar	fir.mar
física	fí.si.ca
flaquear	fla.que.ar
foco	fo.co
formados	for.ma.dos
fórmulas	fór.mu.las
fortalece	for.ta.le.ce
fortuna	for.tu.na
fraguas	fra.guas
franca	fran.ca
frases	fra.ses
frigios	fri.gios
fruncidos	frun.ci.dos
fruta	fru.ta
fueros	fue.ros
fugas	fu.gas
fundaba	fun.da.ba
fundamento	fun.da.men.to
fundar	fun.dar
fundase	fun.da.se
gala	ga.la
!gallardas	ga.llar.das
galones	ga.lo.nes
ganan	ga.nan
ganar	ga.nar
gano	ga.no
garganta	gar.gan.ta
garras	ga.rras
gastadores	gas.ta.do.res
generoso	ge.ne.ro.so
gitanos	gi.ta.nos
gloriosamente	glo.rio.sa.men.te
gomas	go.mas
gomoso	go.mo.so
gorra	go.rra
goteaban	go.te.a.ban
graciosamente	gra.cio.sa.men.te
grado	gra.do
grandezas	gran.de.zas
gravísima	gra.ví.si.ma
gritando	gri.tan.do
gruesa	grue.sa
gruesos	grue.sos
grupos	gru.pos
guardadecir	guar.da.de.cir
guarnecida	guar.ne.ci.da
guisar	gui.sar
gustábale	gus.tá.ba.le
gustos	gus.tos
haberla	ha.ber.la
hablándome	ha.blán.do.me
!halagüeñas	ha.la.güe.ñas
hedor	he.dor
heredero	he.re.de.ro
herencias	he.ren.cias
hermosísima	her.mo.sí.si.ma
herrero	he.rre.ro
!hiciéronlo	hi.cié.ron.lo
hilados	hi.la.dos
!hornillo	hor.ni.llo
huestes	hues.tes
!humilladay	hu.mi.lla.day
!humillado	hu.mi.lla.do
humoradas	hu.mo.ra.das
humosa	hu.mo.sa
hundamos	hun.da.mos
hundida	hun.di.da
hundir	hun.dir
idas	i.das
ideales	i.de.a.les
ignorando	ig.no.ran.do
imaginario	i.ma.gi.na.rio
importaba	im.por.ta.ba
impresiones	im.pre.sio.nes
impresos	im.pre.sos
improvisado	im.pro.vi.sa.do
impulsos	im.pul.sos
incapaz	in.ca.paz
incendiar	in.cen.diar
incomodados	in.co.mo.da.dos
indiscutible	in.dis.cu.ti.ble
#individuos	in.di.vi.duos
infernal	in.fer.nal
infinitamente	in.fi.ni.ta.men.te
infinitos	in.fi.ni.tos
influyente	in.flu.yen.te
inherente	in.he.ren.te
inquieto	in.quie.to
insetos	in.se.tos
insistió	in.sis.tió
insondables	in.son.da.bles
!instalado	ins.ta.la.do
insuficiente	in.su.fi.cien.te
insulsos	in.sul.sos
#intelectualmente	in.te.lec.tual.men.te
intenciones	in.ten.cio.nes
intentaba	in.ten.ta.ba
intentó	in.ten.tó
interpuesto	in.ter.pues.to
interrogatorio	in.te.rro.ga.to.rio
invenciones	in.ven.cio.nes
inventan	in.ven.tan
invirtió	in.vir.tió
irremediable	i.rre.me.dia.ble
italiana	i.ta.lia.na
jamás	ja.más
jardín	jar.dín
jeroglífico	je.ro.glí.fi.co
juanparece	juan.pa.re.ce
julia	ju.lia
junta	jun.ta
junturas	jun.tu.ras
justificadamente	jus.ti.fi.ca.da.men.te
juzgó	juz.gó
labrados	la.bra.dos
lamentables	la.men.ta.bles
láminas	lá.mi.nas
lánguido	lán.gui.do
lanzada	lan.za.da
lastima	las.ti.ma
latido	la.ti.do
leño	le.ño
lenta	len.ta
les	les
levantándole	le.van.tán.do.le
ley	ley
libraban	li.bra.ban
lienzos	lien.zos
ligas	li.gas
ligeras	li.ge.ras
limpios	lim.pios
listas	lis.tas
llaga	lla.ga
llamaras	lla.ma.ras
llave	lla.ve
llevándole	lle.ván.do.le
llevarlo	lle.var.lo
lleve	lle.ve
llevole	lle.vo.le
lógica	ló.gi.ca
logré	lo.gré
lona	lo.na
longo	lon.go
loros	lo.ros
loza	lo.za
lucen	lu.cen
!lucha	lu.cha
luminoso	lu.mi.no.so
madera	ma.de.ra
madrugador	ma.dru.ga.dor
maestría	ma.es.trí.a
majestades	ma.jes.ta.des
malamente	ma.la.men.te
malearon	ma.le.a.ron
mampostería	mam.pos.te.rí.a
mansos	man.sos
manta	man.ta
manuela	ma.nue.la
manzanas	man.za.nas
marcaban	mar.ca.ban
marco	mar.co
mate	ma.te
máxima	má.xi.ma
!mechones	me.cho.nes
medianera	me.dia.ne.ra
medrosa	me.dro.sa
medroso	me.dro.so
mejorse	me.jor.se
melancolía	me.lan.co.lí.a
melancólica	me.lan.có.li.ca
menestrales	me.nes.tra.les
menosprecia	me.nos.pre.cia
menudearon	me.nu.de.a.ron
merecían	me.re.cí.an
!mesilla	me.si.lla
metal	me.tal
mimosa	mi.mo.sa
mina	mi.na
mintió	min.tió
miraba	mi.ra.ba
mirarlas	mi.rar.las
mires	mi.res
místico	mís.ti.co
modesta	mo.des.ta
modestísimamente	mo.des.tí.si.ma.men.te
mojados	mo.ja.dos
molina	mo.li.na
molinetes	mo.li.ne.tes
momentos	mo.men.tos
mona	mo.na
morena	mo.re.na
motas	mo.tas
motejaron	mo.te.ja.ron
!muchísimo	mu.chí.si.mo
mueca	mue.ca
muere	mue.re
mueren	mue.ren
!muían	mu.í.an
murmurar	mur.mu.rar
naipes	nai.pes
navarra	na.va.rra
nerviosamente	ner.vio.sa.men.te
noble	no.ble
nobleza	no.ble.za
nodriza	no.dri.za
nombrado	nom.bra.do
notabilísimo	no.ta.bi.lí.si.mo
novatada	no.va.ta.da
nublados	nu.bla.dos
obligaban	o.bli.ga.ban
obligados	o.bli.ga.dos
obra	o.bra
obrado	o.bra.do
obrador	o.bra.dor
obrero	o.bre.ro
ocultado	o.cul.ta.do
ocurrió	o.cu.rrió
ofensaconsejo	o.fen.sa.con.se.jo
oficiales	o.fi.cia.les
oficiando	o.fi.cian.do
oficio	o.fi.cio
oh	oh
ojitos	o.ji.tos
olózaga	o.ló.za.ga
onda	on.da
ónix	ó.nix
ordenada	or.de.na.da
!organillo	or.ga.ni.llo
oscurecer	os.cu.re.cer
oyó	o.yó
padrastro	pa.dras.tro
pagamos	pa.ga.mos
paguen	pa.guen
palabrería	pa.la.bre.rí.a
palitroques	pa.li.tro.ques
pámpanos	pám.pa.nos
!pantalla	pan.ta.lla
paradas	pa.ra.das
paraguas	pa.ra.guas
paralelas	pa.ra.le.las
parándose	pa.rán.do.se
parar	pa.rar
parcialidad	par.cia.li.dad
pareciese	pa.re.cie.se
parientes	pa.rien.tes
parlamentar	par.la.men.tar
parpadear	par.pa.de.ar
párrafo	pá.rra.fo
párroco	pá.rro.co
partidas	par.ti.das
pasaban	pa.sa.ban
pasajeros	pa.sa.je.ros
paseo	pa.se.o
paseos	pa.se.os
paternidad	pa.ter.ni.dad
pedreas	pe.dre.as
pegóseles	pe.gó.se.les
peinador	pei.na.dor
pensar	pen.sar
pequeñuelos	pe.que.ñue.los
perdía	per.dí.a
perdone	per.do.ne
perdono	per.do.no
perfidia	per.fi.dia
#perpetua	per.pe.tua
perplejidad	per.ple.ji.dad
persignaban	per.sig.na.ban
personajes	per.so.na.jes
pesadumbre	pe.sa.dum.bre
pescuezo	pes.cue.zo
!pesetillas	pe.se.ti.llas
#piano	pia.no
picador	pi.ca.dor
picarescos	pi.ca.res.cos
pido	pi.do
!pinchándose	pin.chán.do.se
pintado	pin.ta.do
piquete	pi.que.te
pistón	pis.tón
placer	pla.cer
plato	pla.to
población	po.bla.ción
!pobrecilla	po.bre.ci.lla
poderosamente	po.de.ro.sa.men.te
podrirse	po.drir.se
poesía	po.e.sí.a
polvoriento	pol.vo.rien.to
pomposamente	pom.po.sa.men.te
poner	po.ner
pontón	pon.tón
populo	po.pu.lo
portero	por.te.ro
postrera	pos.tre.ra
postres	pos.tres
precie	pre.cie
predispuesto	pre.dis.pues.to
preferirle	pre.fe.rir.le
preguntándolo	pre.gun.tán.do.lo
premiados	pre.mia.dos
prendada	pren.da.da
prescindir	pres.cin.dir
presentación	pre.sen.ta.ción
presidiarios	pre.si.dia.rios
preso	pre.so
prestes	pres.tes
presumir	pre.su.mir
pretendería	pre.ten.de.rí.a
primada	pri.ma.da
privación	pri.va.ción
pro	pro
producía	pro.du.cí.a
profanaban	pro.fa.na.ban
profetas	pro.fe.tas
profusión	pro.fu.sión
prometedora	pro.me.te.do.ra
propone	pro.po.ne
prórrogas	pró.rro.gas
prosaicos	pro.sai.cos
proscribiendo	pros.cri.bien.do
proselitismo	pro.se.li.tis.mo
provisiones	pro.vi.sio.nes
puente	puen.te
pugnaban	pug.na.ban
!puntillera	pun.ti.lle.ra
quebraba	que.bra.ba
quebrantahuesos	que.bran.ta.hue.sos
quehaceres	que.ha.ce.res
queramos	que.ra.mos
querrá	que.rrá
quevedo	que.ve.do
quié	quié
quitarles	qui.tar.les
rabio	ra.bio
!ramillete	ra.mi.lle.te
ramito	ra.mi.to
rapidísima	ra.pi.dí.si.ma
raro	ra.ro
rasgó	ras.gó
ratificación	ra.ti.fi.ca.ción
rayo	ra.yo
rebajamiento	re.ba.ja.mien.to
rebosando	re.bo.san.do
rebuscadas	re.bus.ca.das
recaditos	re.ca.di.tos
reciprocidad	re.ci.pro.ci.dad
recita	re.ci.ta
recoge	re.co.ge
recogido	re.co.gi.do
reconcentrada	re.con.cen.tra.da
reconquista	re.con.quis.ta
reconviniéndole	re.con.vi.nién.do.le
rectitud	rec.ti.tud
recua	re.cua
#reemplazase	re.em.pla.za.se
#reemplazo	re.em.pla.zo
referencia	re.fe.ren.cia
referencias	re.fe.ren.cias
refunfuño	re.fun.fu.ño
regaba	re.ga.ba
regala	re.ga.la
regalada	re.ga.la.da
regiones	re.gio.nes
reglamento	re.gla.men.to
regocijó	re.go.ci.jó
reimprimiría	reim.pri.mi.rí.a
relegado	re.le.ga.do
renegando	re.ne.gan.do
renovar	re.no.var
repartidos	re.par.ti.dos
repercutía	re.per.cu.tí.a
repertorio	re.per.to.rio
repetían	re.pe.tí.an
repetido	re.pe.ti.do
repitiéndose	re.pi.tién.do.se
representarla	re.pre.sen.tar.la
reproducidas	re.pro.du.ci.das
resaltan	re.sal.tan
resbala	res.ba.la
rescatar	res.ca.tar
reservado	re.ser.va.do
resignadamente	re.sig.na.da.men.te
resignándose	re.sig.nán.do.se
resistió	re.sis.tió
respetable	res.pe.ta.ble
resplandeciente	res.plan.de.cien.te
resultaban	re.sul.ta.ban
resultaría	re.sul.ta.rí.a
retaco	re.ta.co
retrocede	re.tro.ce.de
#reuniesen	reu.nie.sen
revisteros	re.vis.te.ros
revoloteaba	re.vo.lo.te.a.ba
revuelta	re.vuel.ta
rizo	ri.zo
robar	ro.bar
roca	ro.ca
rodear	ro.de.ar
rojizo	ro.ji.zo
romperse	rom.per.se
rosetas	ro.se.tas
rubia	ru.bia
ruborosa	ru.bo.ro.sa
rudimentos	ru.di.men.tos
ruedos	rue.dos
ruin	ruin
sabe	sa.be
sabido	sa.bi.do
sacrificaron	sa.cri.fi.ca.ron
sacrificó	sa.cri.fi.có
saladero	sa.la.de.ro
salientes	sa.lien.tes
saludos	sa.lu.dos
sanos	sa.nos
santa	san.ta
seca	se.ca
sed	sed
seducía	se.du.cí.a
seducido	se.du.ci.do
segunda	se.gun.da
señalaban	se.ña.la.ban
sentados	sen.ta.dos
sentimiento	sen.ti.mien.to
seré	se.ré
serpear	ser.pe.ar
servirles	ser.vir.les
sí	sí
siguiéndoles	si.guién.do.les
siguiera	si.guie.ra
sima	si.ma
#sinnúmero	sin.nú.me.ro
!situada	si.tu.a.da
sobrepuestas	so.bre.pues.tas
sobrevenir	so.bre.ve.nir
socorrerla	so.co.rrer.la
sofoca	so.fo.ca
sofocándolo	so.fo.cán.do.lo
solitario	so.li.ta.rio
sombreada	som.bre.a.da
sombrean	som.bre.an
sonar	so.nar
soporta	so.por.ta
sorda	sor.da
!sospechó	sos.pe.chó
sotos	so.tos
suavemente	sua.ve.men.te
sucedía	su.ce.dí.a
sucesivamente	su.ce.si.va.men.te
sucio	su.cio
suelo	sue.lo
suicidó	sui.ci.dó
!suntuosos	sun.tu.o.sos
supe	su.pe
suponerlo	su.po.ner.lo
suponiéndose	su.po.nién.do.se
supremacía	su.pre.ma.cí.a
suprimir	su.pri.mir
supuestos	su.pues.tos
surcada	sur.ca.da
surgían	sur.gí.an
#sustituidos	sus.ti.tui.dos
suyo	su.yo
taberna	ta.ber.na
tacaño	ta.ca.ño
!tallada	ta.lla.da
!talleres	ta.lle.res
talones	ta.lo.nes
tañidos	ta.ñi.dos
tantas	tan.tas
tapicero	ta.pi.ce.ro
tardaráy	tar.da.ráy
tarjetas	tar.je.tas
taurinos	tau.ri.nos
telares	te.la.res
tema	te.ma
temores	te.mo.res
!tenducho	ten.du.cho
tenebroso	te.ne.bro.so
tenerle	te.ner.le
tenida	te.ni.da
teniendo	te.nien.do
teóricamente	te.ó.ri.ca.men.te
teresita	te.re.si.ta
terminan	ter.mi.nan
testigos	tes.ti.gos
ticiano	ti.cia.no
tilos	ti.los
tiñendo	ti.ñen.do
tinieblas	ti.nie.blas
tintes	tin.tes
tío	tí.o
tizona	ti.zo.na
tolero	to.le.ro
tomándolo	to.mán.do.lo
torció	tor.ció
!torrecilla	to.rre.ci.lla
torrentes	to.rren.tes
trabajaré	tra.ba.ja.ré
trae	tra.e
traía	tra.í.a
traiciones	trai.cio.nes
!transparentes	trans.pa.ren.tes
trapo	tra.po
trasformarse	tras.for.mar.se
!traslado	tras.la.do
trastornada	tras.tor.na.da
trayéndole	tra.yén.do.le
trémulas	tré.mu.las
tributados	tri.bu.ta.dos
trigo	tri.go
tropezar	tro.pe.zar
#tugurios	tu.gu.rios
tuvieran	tu.vie.ran
ultrajes	ul.tra.jes
unían	u.ní.an
único	ú.ni.co
usaron	u.sa.ron
vacilante	va.ci.lan.te
vaciló	va.ci.ló
vacíos	va.cí.os
vagar	va.gar
valerosamente	va.le.ro.sa.men.te
valiente	va.lien.te
vaporoso	va.po.ro.so
vara	va.ra
#variación	va.ria.ción
vascas	vas.cas
vecinas	ve.ci.nas
veíanse	ve.í.an.se
velar	ve.lar
velocidad	ve.lo.ci.dad
veneras	ve.ne.ras
!ventanilla	ven.ta.ni.lla
veraneo	ve.ra.ne.o
verás	ve.rás
veré	ve.ré
versiones	ver.sio.nes
verte	ver.te
vértigo	vér.ti.go
ves	ves
vespertinos	ves.per.ti.nos
vestíbulo	ves.tí.bu.lo
vía	ví.a
viendo	vien.do
vigilar	vi.gi.lar
#violación	vio.la.ción
vistió	vis.tió
vitalicio	vi.ta.li.cio
viviera	vi.vie.ra
vivís	vi.vís
volteriano	vol.te.ria.no
#voluptuosidad	vo.lup.tuo.si.dad
volvamos	vol.va.mos
voraces	vo.ra.ces
yegó	ye.gó
yema	ye.ma
yorao	yo.ra.o
!zapatillas	za.pa.ti.llas
zuecos	zue.cos
