gainera	gai.ne.ra
soldaten	sol.da.ten
poliki	po.li.ki
plazaratuko	pla.za.ra.tu.ko
partarrieu	par.ta.rri.eu
para	pa.ra
oroitzen	o.roi.tzen
musikagileak	mu.si.ka.gi.le.ak
matxinada	ma.txi.na.da
labrit	la.brit
kaxmir	kax.mir
istorioaren	is.to.ri.o.a.ren
irulegiko	i.ru.le.gi.ko
indarraz	in.da.rraz
hik	hik
entrenatzailearekin	en.tre.na.tzai.le.a.re.kin
egoitzen	e.goi.tzen
dutenentzat	du.te.nen.tzat
bazkideek	baz.ki.de.ek
baldintzen	bal.din.tzen
baikenuen	bai.ke.nu.en
ayala	a.ya.la
atzealdea	a.tze.al.de.a
aldapa	al.da.pa
adarragan	a.da.rra.gan
zitzakeen	zi.tza.ke.en
#winnen	win.nen
#vidal	vi.dal
venezuelara	ve.ne.zu.e.la.ra
paperean	pa.pe.re.an
oatira	o.a.ti.ra
nahiari	na.hi.a.ri
mingarri	min.ga.rri
#melville	mel.vil.le
laborategian	la.bo.ra.te.gi.an
kalteordainak	kal.te.or.dai.nak
juridikoak	ju.ri.di.ko.ak
irits	i.rits
inporta	in.por.ta
federal	fe.de.ral
exekutibo	e.xe.ku.ti.bo
estrasburgon	es.tras.bur.gon
elkartekide	el.kar.te.ki.de
ekarriz	e.ka.rriz
do	do
distantzia	dis.tan.tzi.a
dimisioak	di.mi.si.o.ak
deskribatu	des.kri.ba.tu
departamenduan	de.par.ta.men.du.an
defentsarik	de.fen.tsa.rik
daeta	da.e.ta
#castejonek	cas.te.jo.nek
britainiarraren	bri.tai.ni.a.rra.ren
bestekoa	bes.te.ko.a
berdeak	ber.de.ak
bateraturik	ba.te.ra.tu.rik
atxilotuei	a.txi.lo.tu.ei
aizpun	aiz.pun
abu	a.bu
zeudenean	zeu.de.ne.an
zalduna	zal.du.na
#wiranto	wi.ran.to
saihestuz	sai.hes.tuz
ribera	ri.be.ra
pusketak	pus.ke.tak
patrizia	pa.tri.zi.a
park	park
ordezkatzea	or.dez.ka.tze.a
nuklear	nu.kle.ar
nolatan	no.la.tan
nagusirako	na.gu.si.ra.ko
mike	mi.ke
menturaz	men.tu.raz
manifestaldira	ma.ni.fes.tal.di.ra
luketelako	lu.ke.te.la.ko
lautier	lau.ti.er
laguntzailea	la.gun.tzai.le.a
judizialen	ju.di.zi.a.len
jatetxeko	ja.te.txe.ko
!iurekin	i.u.re.kin
ipuruan	i.pu.ru.an
harremanek	ha.rre.ma.nek
#gehiegizkoak	ge.hi.e.giz.ko.ak
galesen	ga.le.sen
fakultateak	fa.kul.ta.te.ak
eva	e.va
etorrizko	e.to.rriz.ko
errepika	e.rre.pi.ka
!erosleen	e.ros.le.en
els	els
elkarnalaren	el.kar.na.la.ren
ekologisten	e.ko.lo.gis.ten
donapaleuko	do.na.pa.leu.ko
dizkiet	diz.ki.et
diskoko	dis.ko.ko
dezakegula	de.za.ke.gu.la
dakarrela	da.ka.rre.la
celtak	cel.tak
bueno	bu.e.no
bortizkeriaz	bor.tiz.ke.ri.az
bezeroaren	be.ze.ro.a.ren
bertsolarik	ber.tso.la.rik
berdearekiko	ber.de.a.re.ki.ko
behaketa	be.ha.ke.ta
batzea	ba.tze.a
baietsi	bai.e.tsi
aurkeztuz	aur.kez.tuz
augustako	au.gus.ta.ko
atxiloketaren	a.txi.lo.ke.ta.ren
arrantzaleak	a.rran.tza.le.ak
arinegi	a.ri.ne.gi
aldaketei	al.da.ke.tei
aito	ai.to
#agassiren	a.gas.si.ren
abilezia	a.bi.le.zi.a
zelulak	ze.lu.lak
zaizkidala	zaiz.ki.da.la
zaharkitu	za.har.ki.tu
voronin	vo.ro.nin
teknologikoak	tek.no.lo.gi.ko.ak
teknologiak	tek.no.lo.gi.ak
solabarrietaren	so.la.ba.rri.e.ta.ren
#roussetek	rous.se.tek
rion	ri.on
#rhineko	rhi.ne.ko
politizatzeko	po.li.ti.za.tze.ko
plangintzan	plan.gin.tzan
pilotalekura	pi.lo.ta.le.ku.ra
paregabeak	pa.re.ga.be.ak
otsoak	o.tso.ak
nozal	no.zal
musikarekiko	mu.si.ka.re.ki.ko
maizago	mai.za.go
maitia	mai.ti.a
#maginnis	ma.gin.nis
lodiak	lo.di.ak
letal	le.tal
lesakarrek	le.sa.ka.rrek
legalki	le.gal.ki
lay	lay
larrainek	la.rrai.nek
lakuntzan	la.kun.tzan
lagunok	la.gu.nok
koktelen	kok.te.len
keinurik	kei.nu.rik
kalteei	kal.te.ei
jaiki	jai.ki
irribarretsu	i.rri.ba.rre.tsu
iparekialdean	i.pa.re.ki.al.de.an
hortara	hor.ta.ra
hartzerakoan	har.tze.ra.ko.an
gozagarriak	go.za.ga.rri.ak
georgiako	ge.or.gi.a.ko
genizkion	ge.niz.ki.on
galdeginez	gal.de.gi.nez
funts	funts
formalki	for.mal.ki
ezagule	e.za.gu.le
erokeria	e.ro.ke.ri.a
ermua	er.mu.a
entrerrios	en.tre.rri.os
emandakoa	e.man.da.ko.a
elosegik	e.lo.se.gik
egurrezko	e.gu.rrez.ko
egoterik	e.go.te.rik
dostal	dos.tal
dezakeelako	de.za.ke.e.la.ko
dalemaren	da.le.ma.ren
dagoelarik	da.go.e.la.rik
cofidis	co.fi.dis
!paco	pa.co
berriozarko	be.rri.o.zar.ko
auzokideak	au.zo.ki.de.ak
auzoa	au.zo.a
arropak	a.rro.pak
arrantzaren	a.rran.tza.ren
arabarraren	a.ra.ba.rra.ren
alternatibo	al.ter.na.ti.bo
aldizkariari	al.diz.ka.ri.a.ri
akusaturik	a.ku.sa.tu.rik
!ahanzten	a.hanz.ten
agintaldiaren	a.gin.tal.di.a.ren
agerikoak	a.ge.ri.ko.ak
zituztenetik	zi.tuz.te.ne.tik
zituenez	zi.tu.e.nez
zabaltzeak	za.bal.tze.ak
zabalkundeari	za.bal.kun.de.a.ri
yorkek	yor.kek
xarean	xa.re.an
urratsik	u.rra.tsik
unibertsitatera	u.ni.ber.tsi.ta.te.ra
uharten	u.har.ten
txakolinaren	txa.ko.li.na.ren
tropen	tro.pen
tranpak	tran.pak
tramiterako	tra.mi.te.ra.ko
tiratzen	ti.ra.tzen
tente	ten.te
telebisibo	te.le.bi.si.bo
tamilek	ta.mi.lek
talentuari	ta.len.tu.a.ri
susperregi	sus.pe.rre.gi
sueziarra	su.e.zi.a.rra
solabarrieta	so.la.ba.rri.e.ta
sarbide	sar.bi.de
sani	sa.ni
saminak	sa.mi.nak
salaketarekin	sa.la.ke.ta.re.kin
sabata	sa.ba.ta
pupeko	pu.pe.ko
presionatua	pre.si.o.na.tu.a
pragako	pra.ga.ko
pozaren	po.za.ren
pertsiako	per.tsi.a.ko
pandan	pan.dan
ostielako	os.ti.e.la.ko
okupazioa	o.ku.pa.zi.o.a
ohitua	o.hi.tu.a
nuenetik	nu.e.ne.tik
normalizazioari	nor.ma.li.za.zi.o.a.ri
negoziatzera	ne.go.zi.a.tze.ra
nazioek	na.zi.o.ek
nafarrera	na.fa.rre.ra
mutrikuko	mu.tri.ku.ko
!munstroa	muns.tro.a
mugatuak	mu.ga.tu.ak
molotoff	mo.lo.toff
melodia	me.lo.di.a
melguizo	mel.gui.zo
megadenda	me.ga.den.da
#mastroianni	mas.troi.an.ni
masailezurra	ma.sai.le.zu.rra
manifestarik	ma.ni.fes.ta.rik
maiteok	mai.te.ok
madden	ma.dden
loditasunaren	lo.di.ta.su.na.ren
liokeen	li.o.ke.en
larriari	la.rri.a.ri
lamarr	la.marr
kulote	ku.lo.te
kritikatzea	kri.ti.ka.tze.a
koptoak	kop.to.ak
kopetilun	ko.pe.ti.lun
kontzerturik	kon.tzer.tu.rik
konturatzerako	kon.tu.ra.tze.ra.ko
koloretako	ko.lo.re.ta.ko
kokalekua	ko.ka.le.ku.a
kimikoen	ki.mi.ko.en
kantuari	kan.tu.a.ri
kanpaleku	kan.pa.le.ku
kafelnikovek	ka.fel.ni.ko.vek
joxeantonio	jo.xe.an.to.ni.o
jokatzeari	jo.ka.tze.a.ri
jazarraldia	ja.za.rral.di.a
isunen	i.su.nen
irregularrean	i.rre.gu.la.rre.an
iraultzaileari	i.raul.tzai.le.a.ri
iratxe	i.ra.txe
intimoak	in.ti.mo.ak
inpunitate	in.pu.ni.ta.te
inigo	i.ni.go
ilusioaren	i.lu.si.o.a.ren
ikusteke	i.kus.te.ke
ikastetxeei	i.kas.te.txe.ei
hirugarrengoz	hi.ru.ga.rren.goz
hildakoetatik	hil.da.ko.e.ta.tik
hartuemanak	har.tu.e.ma.nak
habe	ha.be
guterres	gu.te.rres
gernikakoa	ger.ni.ka.ko.a
gaztegunea	gaz.te.gu.ne.a
gaindosi	gain.do.si
gaiarekin	gai.a.re.kin
gaelikoz	ga.e.li.koz
fortune	for.tu.ne
flamarikeren	fla.ma.ri.ke.ren
ferrobus	fe.rro.bus
!facto	fac.to
faborez	fa.bo.rez
ezinezkotzat	e.zi.nez.ko.tzat
ezarpena	e.zar.pe.na
ezagut	e.za.gut
etorbidean	e.tor.bi.de.an
!escobar	es.co.bar
estaltzeaz	es.tal.tze.az
espainiko	es.pai.ni.ko
eskualdek	es.ku.al.dek
erriberrin	e.rri.be.rrin
enpleguen	en.ple.gu.en
emilioren	e.mi.li.o.ren
elkartzeak	el.kar.tze.ak
elkartekideen	el.kar.te.ki.de.en
ekimenarekin	e.ki.me.na.re.kin
eguzkitzak	e.guz.ki.tzak
!dury	du.ry
drop	drop
dogmatikoa	dog.ma.ti.ko.a
dizkietela	diz.ki.e.te.la
dietmar	di.et.mar
dialektikoan	di.a.lek.ti.ko.an
dexente	de.xen.te
demokratatik	de.mo.kra.ta.tik
dantzaldia	dan.tzal.di.a
dans	dans
consum	con.sum
carrefour	ca.rre.four
!bundesligako	bun.des.li.ga.ko
borgesekin	bor.ge.se.kin
bisetan	bi.se.tan
bigli	bi.gli
belgikarraren	bel.gi.ka.rra.ren
barbiana	bar.bi.a.na
baleukoren	ba.leu.ko.ren
baititzake	bai.ti.tza.ke
aztarnaren	az.tar.na.ren
azkenera	az.ke.ne.ra
azarora	a.za.ro.ra
arriskatzearen	a.rris.ka.tze.a.ren
arrapostua	a.rra.pos.tu.a
anulatu	a.nu.la.tu
#annemarie	an.ne.ma.ri.e
ametsen	a.me.tsen
alderdikideen	al.der.di.ki.de.en
albaniako	al.ba.ni.a.ko
agiriarekin	a.gi.ri.a.re.kin
afganistan	af.ga.nis.tan
adituekin	a.di.tu.e.kin
zuzenketatik	zu.zen.ke.ta.tik
zuloetatik	zu.lo.e.ta.tik
zuloarekin	zu.lo.a.re.kin
zulatuek	zu.la.tu.ek
#zuenlleyton	zu.enlley.ton
zizun	zi.zun
zirujauko	zi.ru.jau.ko
zintzilikatuta	zin.tzi.li.ka.tu.ta
zinemarako	zi.ne.ma.ra.ko
zinemagintzak	zi.ne.ma.gin.tzak
zimurdurak	zi.mur.du.rak
zientifikoko	zi.en.ti.fi.ko.ko
zetozkion	ze.toz.ki.on
zetorkion	ze.tor.ki.on
zeruetako	ze.ru.e.ta.ko
zentralisten	zen.tra.lis.ten
zentraletako	zen.tra.le.ta.ko
zentralarekin	zen.tra.la.re.kin
zenbaitetatik	zen.bai.te.ta.tik
zatikatzetik	za.ti.ka.tze.tik
zartakoak	zar.ta.ko.ak
zaretelakoan	za.re.te.la.ko.an
zalapartaria	za.la.par.ta.ri.a
zaituztet	zai.tuz.tet
zaituztegunok	zai.tuz.te.gu.nok
yorkinek	yor.ki.nek
xehearena	xe.he.a.re.na
wiesbadenekoek	wi.es.ba.de.ne.ko.ek
wetzikonen	we.tzi.ko.nen
voltairek	vol.tai.rek
vedrinek	ve.dri.nek
veblen	ve.blen
uzteaerabaki	uz.te.a.e.ra.ba.ki
unzueren	un.zu.e.ren
uniformitatearen	u.ni.for.mi.ta.te.a.ren
unidaezker	u.ni.da.ez.ker
uneen	u.ne.en
ulermenaren	u.ler.me.na.ren
txuleta	txu.le.ta
txiapaseko	txi.a.pa.se.ko
txetxeniak	txe.txe.ni.ak
txanogorritxuak	txa.no.go.rri.txu.ak
tutuen	tu.tu.en
tsartas	tsar.tas
!triunfalismoa	tri.un.fa.lis.mo.a
trazioak	tra.zi.o.ak
tradizionalez	tra.di.zi.o.na.lez
torkizunaz	tor.ki.zu.naz
tituludunak	ti.tu.lu.du.nak
tiroketetan	ti.ro.ke.te.tan
tiroak	ti.ro.ak
tindoufen	tin.dou.fen
tierney	ti.er.ney
thorpe	thor.pe
tenientea	te.ni.en.te.a
telefonora	te.le.fo.no.ra
!telefonicari	te.le.fo.ni.ca.ri
telebistagatik	te.le.bis.ta.ga.tik
teknikotaktikoak	tek.ni.ko.tak.ti.ko.ak
tauletara	tau.le.ta.ra
taularatzen	tau.la.ra.tzen
taufifenua	tau.fi.fe.nu.a
#tassel	tas.sel
taldetxo	tal.de.txo
suntsitutako	sun.tsi.tu.ta.ko
sukaldea	su.kal.de.a
suhiltzaileei	su.hil.tzai.le.ei
sorginek	sor.gi.nek
solasaldira	so.la.sal.di.ra
sokatirako	so.ka.ti.ra.ko
#sociedad	soci.e.dad
singapurren	sin.ga.pu.rren
sinestunek	si.nes.tu.nek
sinestea	si.nes.te.a
sendotasunez	sen.do.ta.su.nez
senatore	se.na.to.re
selekzionatzailearen	se.lek.zi.o.na.tzai.le.a.ren
satisfaktoriotzat	sa.tis.fak.to.ri.o.tzat
sasiain	sa.si.ain
sarrailgin	sa.rrail.gin
sarietan	sa.ri.e.tan
sarekadaren	sa.re.ka.da.ren
salbamenduarekin	sal.ba.men.du.a.re.kin
salatzean	sa.la.tze.an
sakeari	sa.ke.a.ri
roa	ro.a
rirau	ri.rau
#ricky	ricky
#rennae	ren.na.e
ratonera	ra.to.ne.ra
puntutako	pun.tu.ta.ko
puntaren	pun.ta.ren
proletarioak	pro.le.ta.ri.o.ak
proiekzioez	proi.ek.zi.o.ez
programarekin	pro.gra.ma.re.kin
profesionaletakoa	pro.fe.si.o.na.le.ta.ko.a
produktuetatik	pro.duk.tu.e.ta.tik
pro	pro
pribatizaziorik	pri.ba.ti.za.zi.o.rik
prestuek	pres.tu.ek
presenteagoak	pre.sen.te.a.go.ak
prefosta	pre.fos.ta
prebentiboan	pre.ben.ti.bo.an
povera	po.ve.ra
!postkonstruktibismoan	post.kons.truk.ti.bis.mo.an
positiboari	po.si.ti.bo.a.ri
polifazetikoa	po.li.fa.ze.ti.ko.a
plazer	pla.zer
platon	pla.ton
!placer	pla.cer
pinakotekako	pi.na.ko.te.ka.ko
pilotarekin	pi.lo.ta.re.kin
penunbran	pe.nun.bran
penunbra	pe.nun.bra
pedante	pe.dan.te
pasiboaren	pa.si.bo.a.ren
pasaturik	pa.sa.tu.rik
pasabidea	pa.sa.bi.de.a
!parecido	pa.re.ci.do
paperarekin	pa.pe.ra.re.kin
!pachonen	pa.cho.nen
ospitalerat	os.pi.ta.le.rat
osoasun	o.so.a.sun
orriratu	o.rri.ra.tu
oroitzapenez	o.roi.tza.pe.nez
ornoaren	or.no.a.ren
ordin	or.din
oportunismo	o.por.tu.nis.mo
ondorioztatzeko	on.do.ri.oz.ta.tze.ko
onartzetik	o.nar.tze.tik
oliopinturak	o.li.o.pin.tu.rak
oinarrituen	oi.na.rri.tu.en
oibar	oi.bar
oholtzatik	o.hol.tza.tik
ohiturez	o.hi.tu.rez
obretatik	o.bre.ta.tik
nukeela	nu.ke.e.la
#nuclenorrekoak	nucle.no.rre.ko.ak
noraezekoa	no.ra.e.ze.ko.a
nolanahikoa	no.la.na.hi.ko.a
neurketen	neur.ke.ten
neoliberalen	ne.o.li.be.ra.len
negozioetan	ne.go.zi.o.e.tan
negozioazioetan	ne.go.zi.o.a.zi.o.e.tan
negoziaezina	ne.go.zi.a.e.zi.na
naturalez	na.tu.ra.lez
najman	naj.man
nabilek	na.bi.lek
musikatuko	mu.si.ka.tu.ko
mugatuagoarengatik	mu.ga.tu.a.go.a.ren.ga.tik
morientes	mo.ri.en.tes
morfosintaxia	mor.fo.sin.ta.xi.a
modeloarekin	mo.de.lo.a.re.kin
#mmourao	mmou.ra.o
#mkanda	mkan.da
mirula	mi.ru.la
#minnesotari	min.ne.so.ta.ri
mikra	mi.kra
!michail	mi.chail
merkataritzajardueraren	mer.ka.ta.ri.tza.jar.du.e.ra.ren
menisko	me.nis.ko
mendekuak	men.de.ku.ak
meimad	mei.mad
mehatxuzko	me.ha.txuz.ko
medikamentuen	me.di.ka.men.tu.en
masur	ma.sur
marroak	ma.rro.ak
!marius	ma.ri.us
mariari	ma.ri.a.ri
mantenuagatik	man.te.nu.a.ga.tik
manifestazioek	ma.ni.fes.ta.zi.o.ek
manifestariei	ma.ni.fes.ta.ri.ei
maltzurrarena	mal.tzu.rra.re.na
malmoen	mal.mo.en
malkarretan	mal.ka.rre.tan
malaysiako	ma.lay.si.a.ko
malandainen	ma.lan.dai.nen
#mafiako	ma.fi.a.ko
madrildarra	ma.dril.da.rra
luzeetara	lu.ze.e.ta.ra
luzarora	lu.za.ro.ra
lurrikararen	lu.rri.ka.ra.ren
luisi	lui.si
lotsagabeena	lo.tsa.ga.be.e.na
loratu	lo.ra.tu
lomas	lo.mas
loiukoa	loi.u.ko.a
lizoan	li.zo.an
liberalizaturik	li.be.ra.li.za.tu.rik
liberalismoaren	li.be.ra.lis.mo.a.ren
lesiorik	le.si.o.rik
leizaolak	lei.za.o.lak
lehergaiekin	le.her.gai.e.kin
lehendakartia	le.hen.da.kar.ti.a
lehenbizikoentzat	le.hen.bi.zi.ko.en.tzat
legezkotasunak	le.gez.ko.ta.su.nak
larrosaren	la.rro.sa.ren
larrauriren	la.rrau.ri.ren
lantaldeak	lan.tal.de.ak
laguntzez	la.gun.tzez
laguntzerakoan	la.gun.tze.ra.ko.an
lagran	la.gran
laburpen	la.bur.pen
kundeen	kun.de.en
kulturazalea	kul.tu.ra.za.le.a
kubrick	ku.brick
kubatarrekin	ku.ba.ta.rre.kin
kritikarekin	kri.ti.ka.re.kin
krisialdiari	kri.si.al.di.a.ri
kostaldeak	kos.tal.de.ak
kontzepturen	kon.tzep.tu.ren
kontaerek	kon.ta.e.rek
konpartimentuan	kon.par.ti.men.tu.an
konkretuez	kon.kre.tu.ez
kongen	kon.gen
komenentziazko	ko.me.nen.tzi.az.ko
koloredun	ko.lo.re.dun
kolonizatzaile	ko.lo.ni.za.tzai.le
koiperik	koi.pe.rik
koinatuaren	koi.na.tu.a.ren
kirolek	ki.ro.lek
kiribiletik	ki.ri.bi.le.tik
kemek	ke.mek
kelme	kel.me
!keitanyk	kei.ta.nyk
katxondeoan	ka.txon.de.o.an
kattu	ka.ttu
kataluniarren	ka.ta.lu.ni.a.rren
kataluinak	ka.ta.lui.nak
kartutxo	kar.tu.txo
karismak	ka.ris.mak
kaputxinoa	ka.pu.txi.no.a
kantuez	kan.tu.ez
kanposantura	kan.po.san.tu.ra
kalakatik	ka.la.ka.tik
kaikuk	kai.kuk
kadiri	ka.di.ri
#jiaxuan	ji.a.xu.an
jautzegiten	jau.tze.gi.ten
jaurtitzean	jaur.ti.tze.an
jasandakoaz	ja.san.da.ko.az
japonieraz	ja.po.ni.e.raz
jairako	jai.ra.ko
!jacksonen	jack.so.nen
izurriteetan	i.zu.rri.te.e.tan
izurdeak	i.zur.de.ak
izebaosabak	i.ze.ba.o.sa.bak
izandakoekin	i.zan.da.ko.e.kin
ixipua	i.xi.pu.a
itzurungo	i.tzu.run.go
itzurri	i.tzu.rri
itxuragabeak	i.txu.ra.ga.be.ak
iss	iss
ispizua	is.pi.zu.a
isolatuetan	i.so.la.tu.e.tan
isolatuegiak	i.so.la.tu.e.gi.ak
irratira	i.rra.ti.ra
iribarrenzandio	i.ri.ba.rren.zan.di.o
iribarrenen	i.ri.ba.rre.nen
irgarritako	ir.ga.rri.ta.ko
iraungitzedata	i.raun.gi.tze.da.ta
iraniarren	i.ra.ni.a.rren
irakurlearen	i.ra.kur.le.a.ren
iragarpenekin	i.ra.gar.pe.ne.kin
iraganekoa	i.ra.ga.ne.ko.a
interdependentzia	in.ter.de.pen.den.tzi.a
inspiratutakoak	inspi.ra.tu.ta.ko.ak
inplikatzeak	in.pli.ka.tze.ak
indioek	in.di.o.ek
independenteagoak	in.de.pen.den.te.a.go.ak
indarretan	in.da.rre.tan
inbertsioenak	in.ber.tsi.o.e.nak
ilieri	i.li.e.ri
ikusentzuleak	i.ku.sen.tzu.le.ak
ikerketazkoa	i.ker.ke.taz.ko.a
ikastaldia	i.kas.tal.di.a
ikasizaharrak	i.ka.si.za.ha.rrak
igurtzi	i.gur.tzi
identifikaturik	i.den.ti.fi.ka.tu.rik
ibildari	i.bil.da.ri
iautek	i.au.tek
hurbileneko	hur.bi.le.ne.ko
huguet	hu.gu.et
hopkinsek	hop.kin.sek
honduras	hon.du.ras
hondamendirik	hon.da.men.di.rik
holandarretan	ho.lan.da.rre.tan
holandaren	ho.lan.da.ren
!hoffman	hoff.man
hitzartutakoaren	hi.tzar.tu.ta.ko.a.ren
hirukoekin	hi.ru.ko.e.kin
hirukide	hi.ru.ki.de
hirugarrengoan	hi.ru.ga.rren.go.an
hirirat	hi.ri.rat
hipotekatzea	hi.po.te.ka.tze.a
hiperrealismoa	hi.pe.rre.a.lis.mo.a
hepatitisaren	he.pa.ti.ti.sa.ren
hegoafrikarra	he.go.a.fri.ka.rra
!hedenstrom	he.dens.trom
harrigarrienaren	ha.rri.ga.rri.e.na.ren
harmoniaz	har.mo.ni.az
!handiuste	han.di.us.te
hamaka	ha.ma.ka
guztiahalduna	guz.ti.a.hal.du.na
gutxinakagutxinaka	gu.txi.na.ka.gu.txi.na.ka
gutarik	gu.ta.rik
gurutzepuntua	gu.ru.tze.pun.tu.a
gurpilaren	gur.pi.la.ren
gostarik	gos.ta.rik
gorritxoekin	go.rri.txo.e.kin
gorritan	go.rri.tan
gorbatxov	gor.ba.txov
goikontseilariarena	goi.kon.tsei.la.ri.a.re.na
gogorgogorra	go.gor.go.go.rra
gizarteratzea	gi.zar.te.ra.tze.a
gizarteongileek	gi.zar.te.on.gi.le.ek
#gisberts	gis.berts
gindoazenean	gin.do.a.ze.ne.an
gertakizunengatik	ger.ta.ki.zu.nen.ga.tik
genuelaeta	ge.nu.e.la.e.ta
generalista	ge.ne.ra.lis.ta
#gehiegikerian	ge.hi.e.gi.ke.ri.an
?garazirekin	ga.ra.zi.re.kin
garatenea	ga.ra.te.ne.a
gamaren	ga.ma.ren
galtzear	gal.tze.ar
galtzailekoek	gal.tzai.le.ko.ek
galdetutako	gal.de.tu.ta.ko
galani	ga.la.ni
gaitzespenen	gai.tzes.pe.nen
gaiarentzat	gai.a.ren.tzat
gabezko	ga.bez.ko
futuristen	fu.tu.ris.ten
funtsezkoenetariko	fun.tsez.ko.e.ne.ta.ri.ko
!frankfurtera	frank.fur.te.ra
!franciscok	fran.cis.cok
foraletan	fo.ra.le.tan
flipantes	fli.pan.tes
fipatel	fi.pa.tel
finantzamenduak	fi.nan.tza.men.du.ak
fernandezena	fer.nan.de.ze.na
faunaren	fau.na.ren
fal	fal
#ezquerrorekin	ezqu.e.rro.re.kin
ezkutatuz	ez.ku.ta.tuz
ezkutaleku	ez.ku.ta.le.ku
